Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,25-080,2000,20,14,1245,13.8,4,3,7,4,0,0,1,0,2.9,2.9,2.8,5.7,29,39,88,0.29,0.22,0.51,0.29,0.51,0.21,0.20,0.41,0.21,0.41,Matches
2,Zach Abbott,eng ENG,DF,Nott'ham Forest,19-242,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3,Joshua Acheampong,eng ENG,DF,Chelsea,19-250,2006,8,6,470,5.2,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,5,13,4,0.19,0.00,0.19,0.19,0.19,0.12,0.01,0.13,0.12,0.13,Matches
4,Tyler Adams,us USA,MF,Bournemouth,26-330,1999,15,15,1195,13.3,2,1,3,2,0,0,5,0,0.5,0.5,0.1,0.5,12,61,7,0.15,0.08,0.23,0.15,0.23,0.03,0.01,0.04,0.03,0.04,Matches
5,Tosin Adarabioyo,eng ENG,DF,Chelsea,28-108,1997,10,6,651,7.2,0,0,0,0,0,0,2,0,0.1,0.1,0.7,0.8,3,21,0,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.11,0.01,0.11,Matches
6,Simon Adingra,ci CIV,"FW,MF",Sunderland,24-009,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,0.3,0.3,0.9,1.2,25,8,67,0.14,0.00,0.14,0.14,0.14,0.05,0.12,0.17,0.05,0.17,Matches
7,Amine Adli,ma MAR,"FW,MF",Bournemouth,25-245,2000,17,3,442,4.9,1,0,1,1,0,0,1,0,1.0,1.0,0.5,1.4,11,19,37,0.20,0.00,0.20,0.20,0.20,0.20,0.09,0.30,0.20,0.30,Matches
8,Emmanuel Agbadou,ci CIV,DF,Wolves,28-207,1997,13,11,1011,11.2,0,0,0,0,0,0,1,1,0.5,0.5,0.2,0.6,5,37,7,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,Matches
9,Nayef Aguerd,ma MAR,DF,West Ham,29-286,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,9,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
10,Ola Aina,ng NGA,DF,Nott'ham Forest,29-094,1996,5,5,428,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,6,16,12,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
11,Rayan Aït-Nouri,dz ALG,DF,Manchester City,24-218,2001,5,3,204,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,7,7,8,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,Matches
12,Kristoffer Ajer,no NOR,DF,Brentford,27-268,1998,15,11,973,10.8,0,1,1,0,0,0,1,0,0.7,0.7,0.7,1.4,8,27,10,0.00,0.09,0.09,0.00,0.09,0.07,0.07,0.13,0.07,0.13,Matches
13,Nathan Aké,nl NED,DF,Manchester City,30-326,1995,11,3,401,4.5,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,6,26,3,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.16,0.06,0.16,Matches
14,Carlos Alcaraz,ar ARG,"MF,FW",Everton,23-041,2002,15,6,663,7.4,0,1,1,0,0,0,3,0,1.1,1.1,0.8,2.0,8,21,26,0.00,0.14,0.14,0.00,0.14,0.15,0.11,0.27,0.15,0.27,Matches
15,Omar Alderete,py PAR,DF,Sunderland,29-015,1996,17,16,1470,16.3,1,1,2,1,0,0,3,0,1.2,1.2,0.1,1.3,15,60,4,0.06,0.06,0.12,0.06,0.12,0.07,0.01,0.08,0.07,0.08,Matches
16,Alisson,br BRA,GK,Liverpool,33-100,1992,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
17,Max Alleyne,eng ENG,DF,Manchester City,20-173,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,6,0,0.00,0.00,0.00,0.00,0.00,0.16,0.03,0.19,0.16,0.19,Matches
18,Jaydon Amauri Banel,nl NED,MF,Burnley,21-083,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
19,Ethan Ampadu,wls WAL,MF,Leeds United,25-118,2000,18,18,1589,17.7,1,0,1,1,0,0,6,0,1.6,1.6,0.1,1.8,21,68,17,0.06,0.00,0.06,0.06,0.06,0.09,0.01,0.10,0.09,0.10,Matches
20,Joachim Andersen,dk DEN,DF,Fulham,29-224,1996,20,20,1751,19.5,0,0,0,0,0,0,4,0,0.8,0.8,0.8,1.6,10,86,5,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches
